full_address,lat,lon
527 Bedok Nth St 3,1.3339997,103.9282207
528 Bedok Nth St 3,1.3348078,103.9276769
547 Bedok Nth St 3,1.3303879,103.925242
623 Bedok Reservoir Rd,1.3336266,103.9168007
43 Chai Chee St,1.3283802,103.9255
52 Chai Chee St,1.3287732,103.9209698
63 New Upp Changi Rd,1.3237658,103.9399086
62 New Upp Changi Rd,1.3233233,103.9400042
128 Bedok Reservoir Rd,1.3334379,103.9114536
149 Bedok Reservoir Rd,1.3356275,103.9124505
133 Bedok Reservoir Rd,1.332192,103.911842
134 Bedok Reservoir Rd,1.3329178,103.912813
165 Bedok Sth Rd,1.3202925,103.9460775
170 Bedok Sth Rd,1.3206577,103.9461681
172 Bedok Sth Rd,1.3206302,103.9445817
415 Bedok Nth Ave 2,1.3297817,103.9300788
505 Bedok Nth Ave 3,1.331848,103.9333872
94E Bedok Nth Ave 4,1.3333411,103.9409107
714 Bedok Reservoir Rd,1.3371015,103.9233263
607 Bedok Reservoir Rd,1.3310889,103.9127224
26 Chai Chee Rd,1.3233495,103.9235924
51 Chai Chee St,1.3289128,103.9221481
53 Chai Chee St,1.3284868,103.9198822
645 Jln Tenaga,1.3317142,103.9067408
649 Jln Tenaga,1.3323328,103.9060668
137 Bedok Nth Ave 3,1.3288356,103.9355626
120 Bedok Nth St 2,1.3299216,103.9375568
118 Bedok Nth St 2,1.3304343,103.9374662
72 Bedok Sth Ave 3,1.3203432,103.9436754
20 Bedok Sth Rd,1.3198116,103.9337045
21 Bedok Sth Rd,1.3200054,103.9332045
60 New Upp Changi Rd,1.3225114,103.9412733
636 Bedok Reservoir Rd,1.3311648,103.9045882
638 Bedok Reservoir Rd,1.331577,103.9042036
640 Bedok Reservoir Rd,1.3321761,103.9049966
642 Bedok Reservoir Rd,1.3314407,103.9056309
10E Bedok Sth Ave 2,1.32166,103.9371924
10B Bedok Sth Ave 2,1.3224673,103.9361971
10D Bedok Sth Ave 2,1.3217402,103.9363754
114 Bedok Reservoir Rd,1.3305197,103.909913
160 Bedok Sth Ave 3,1.3192785,103.9451712
104 Lengkong Tiga,1.3259105,103.9098223
23 Sin Ming Rd,1.3543011,103.8358007
313 Shunfu Rd,1.3513189,103.8380265
304 Shunfu Rd,1.3501914,103.8383403
150A Bishan St 11,1.3447044,103.8554121
115 Bishan St 12,1.3480033,103.8483915
110 Bishan St 12,1.347495,103.8476668
193 Bishan St 13,1.34873,103.850908
406 Sin Ming Ave,1.3630275,103.8340797
123 Bishan St 12,1.3465292,103.8504832
253 Bishan St 22,1.3622419,103.8431376
254 Bishan St 22,1.3618757,103.8431376
249 Bishan St 22,1.3612855,103.8438623
251 Bishan St 22,1.361795,103.8444058
234 Bishan St 22,1.3584894,103.8460363
235 Bishan St 22,1.3586332,103.8464892
236 Bishan St 22,1.3590695,103.8470327
285 Bishan St 22,1.3588751,103.8441672
213 Bishan St 23,1.3571573,103.8483915
215 Bishan St 23,1.3571547,103.8488444
229 Bishan St 23,1.35761,103.8461269
266 Bishan St 24,1.3581349,103.8421728
270 Bishan St 24,1.356979,103.842072
278 Bishan St 24,1.3573779,103.8435163
446 Bright Hill Dr,1.3580571,103.8322682
451 Sin Ming Ave,1.3586557,103.8300944
454 Sin Ming Ave,1.3591653,103.8306379
308 Shunfu Rd,1.3515149,103.8379898
149 Bishan St 11,1.3441529,103.8558197
122 Bishan St 12,1.3468208,103.850664
130 Bishan St 12,1.345939,103.8508373
126 Bishan St 12,1.3461695,103.8521282
191 Bishan St 13,1.3504111,103.8511785
195 Bishan St 13,1.3483366,103.8509053
407 Sin Ming Ave,1.363462,103.834051
124 Bishan St 12,1.3463772,103.8510185
168 Bishan St 13,1.3473107,103.8541891
183 Bishan St 13,1.3504693,103.8524679
190 Bishan St 13,1.3505564,103.8520585
166 Bishan St 13,1.3488421,103.8552762
153 Bishan St 13,1.346134,103.855095
155 Bishan St 13,1.3462762,103.8558197
221 Bishan St 23,1.3578122,103.8491162
223 Bishan St 23,1.3586232,103.8482103
310 Shunfu Rd,1.3509026,103.8384743
227 Bishan St 23,1.358042,103.8473951
187 Bishan St 13,1.3495227,103.851562
245 Bishan St 22,1.3605524,103.8439529
401 Sin Ming Ave,1.3625976,103.8330838
444 Sin Ming Ave,1.3585944,103.832316
148 Bishan St 11,1.344233,103.854642
534 Bt Batok St 51,1.3559677,103.7505944
504 Bt Batok St 52,1.3519793,103.7551236
505 Bt Batok St 52,1.3519153,103.7536754
506 Bt Batok St 52,1.3522463,103.75465
507 Bt Batok St 52,1.352213,103.7537627
160 Bt Batok St 11,1.3489171,103.7420889
164 Bt Batok St 11,1.3477409,103.7428129
162 Bt Batok St 11,1.3479668,103.7417267
206 Bt Batok St 21,1.346678,103.7493299
208 Bt Batok St 21,1.3458934,103.7488545
205 Bt Batok St 21,1.3471327,103.7498505
341 Bt Batok St 34,1.3627906,103.7491461
539 Bt Batok St 52,1.3547939,103.750866
411 Bt Batok West Ave 4,1.3641265,103.7462496
414 Bt Batok West Ave 4,1.3635418,103.745978
416 Bt Batok West Ave 4,1.3631754,103.745978
177 Bt Batok West Ave 8,1.346356,103.7416359
259 Bt Batok East Ave 4,1.3513302,103.7595486
265 Bt Batok East Ave 4,1.3499142,103.7597406
246 Bt Batok East Ave 5,1.3496343,103.7574773
235 Bt Batok East Ave 5,1.3485615,103.756142
231 Bt Batok East Ave 5,1.3491948,103.7542864
212 Bt Batok St 21,1.3471745,103.7521361
308 Bt Batok St 31,1.3585281,103.7481278
367 Bt Batok St 31,1.3603687,103.7497798
